StartDate,EndDate,Name,Price,URL,Image,Location,Location,Region,Street,postalCode,Latitude,Longitude,Description
2022-11-02,2022-11-04,Privacy Symposium Africa 2022,0.00,https://www.eventbrite.com/e/privacy-symposium-africa-2022-tickets-394929423537,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F328181459%2F1078660878173%2F1%2Foriginal.20220802-070924?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=5%2C58%2C1048%2C524&s=bb7a3c98be2a0ebdac16192daa904e64,Strathmore University,Nairobi,Nairobi County,"Karen Ole Sangale Rd, off Langata Road",0000,-1.3065222,36.81773099999999,A pan-African platform established by Unwanted Witness to discuss the latest technological trends in Data Protection & Privacy.
2022-10-22,2022-10-22,EAST AFRICA INTERNATIONAL FASHION WEEK,0.00,https://www.eventbrite.com/e/east-africa-international-fashion-week-tickets-198284754037,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F173369829%2F553666404767%2F1%2Foriginal.20211025-134024?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C43%2C768%2C384&s=aaeaea7e6bddb578be41b37a3244b44d,Sentrim Hotels and Lodges,Nairobi,Nairobi County,Kenyatta Avenue,00100,-1.2855716,36.8202294,"Founded in 2019 by ELESHIA AIS , East Africa International Fashion Week has led the way in highlighting Africa's emerging designers"
2022-09-07,2022-09-07,Data Analytics & Visualization with Power BI,0.00,https://www.eventbrite.com/e/data-analytics-visualization-with-power-bi-tickets-339846769837,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F284152259%2F960222301283%2F1%2Foriginal.20220513-105307?w=304&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C7%2C304%2C152&s=f910c8af22de200455c91a56703ebee0,PrideInn Azure Hotel Nairobi,Nairobi,Nairobi,Lantana Road,390,-1.2668888,36.79655959999999,Learn how you can leverage Power BI to easily build reports and dashboards with interactive visualizations.
2023-11-16,2023-11-16,Kenya Tech Summit,0.00,https://www.eventbrite.com/e/kenya-tech-summit-tickets-162901255039,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F141254671%2F272798929277%2F1%2Foriginal.20210710-160402?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=171%2C0%2C682%2C341&s=48849aa60c7da294d27f4b8b2dbcd78e,Location TBA,Nairobi,,Location TBA,0000,-1.2920659,36.8219462,2nd  Annual Kenya Tech Summit
2022-09-14,2022-09-14,Movie Screening: The Wisdom of Trauma,0.00,https://www.eventbrite.com/e/movie-screening-the-wisdom-of-trauma-tickets-412984175787,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F347120679%2F258433648316%2F1%2Foriginal.20220902-163715?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C60%2C1920%2C960&s=3650aba9e237e88393a9397904aa3d84,Unseen Nairobi,Nairobi,Nairobi County,Wood Avenue,,-1.292473,36.7861948,"A JOURNEY TO THE ROOT OF HUMAN PAIN AND THE SOURCE OF HEALING, WITH DR. GABOR MATÉ."
2022-09-10,2022-09-10,Financial Literacy Month,0.00,https://www.eventbrite.com/e/financial-literacy-month-tickets-412707076977,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F346821079%2F86322560521%2F1%2Foriginal.20220902-063938?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=7c9a6b10f9c2fa7499d091636f6e88b5,Sarit Centre,Nairobi,Nairobi County,Karuna Road,,-1.2611605,36.80197769999999,"Financial literacy sessions for creatives, entrepreneurs and changemakers. Limited spaces, sign up to book your seat on: https://cutt.ly/fin"
2022-09-19,2022-09-23,Auto Security & safety Systems Installation Skills,0.00,https://www.eventbrite.com/e/auto-security-safety-systems-installation-skills-tickets-225807304727,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F199219689%2F29650787725%2F1%2Foriginal.20211210-122328?w=500&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C25%2C500%2C250&s=a9ea7bfb19e939cf474bd36e61887bb5,KENVISION TECHNIKS WORKSHOPS,Nairobi,Nairobi,KAHAWA SUKARI AVE,,-1.1892513,36.93200019999995,his unit describes the performance outcomes required to install and test automotive security systems and components in vehicles or machinery
2022-09-19,2022-09-23,Automotive Key Programming Skills Training,0.00,https://www.eventbrite.com/e/automotive-key-programming-skills-training-tickets-223934473037,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F197479349%2F29650787725%2F1%2Foriginal.20210130-130355?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C103%2C1358%2C679&s=07a89b0d070ac98c2a687a3d35f71038,KENVISION TECHNIKS WORKSHOPS,Nairobi,Nairobi,KAHAWA SUKARI AVE,,-1.1892513,36.93200019999995,"This course offers everything from basic to the advanced key programming equipment, together with actual vehicle scenarios.."
2022-10-13,2022-10-13,"Sales, Solution Selling &Negotiation Skills Training Nairobi, KE",0.00,https://www.eventbrite.co.uk/e/sales-solution-selling-negotiation-skills-training-nairobi-ke-tickets-394552987607,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F347877179%2F1035987601693%2F1%2Foriginal.20220904-212613?w=200&auto=format%2Ccompress&q=75&sharp=10&s=f2f94e315f5c4d868763bdbe6b729b60,The Sarit Expo Centre,Nairobi,Nairobi County,Sarit Expo Center,00800,-1.2920659,36.8219462,Sell effectively and solve your customers' problems while negotiating a win-win scenario by learning from experts on 8th Sept 2022.
2022-09-10,2022-09-10,NGONG HILLS HIKE @KES2500,0.00,https://www.eventbrite.com/e/ngong-hills-hike-kes2500-tickets-413249017937,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F347419989%2F269149396129%2F1%2Foriginal.20220903-071300?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C82%2C750%2C375&s=04526099d671eeeda979149693a3c3f5,KENCOM,NAIROBI,,CBD,00100,-1.2920659,36.8219462,Ngong hills hiking adventure
